#Kanäle	Cäsium	Cobalt	Europium
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	1	0	0
65	0	0	1
66	0	0	0
67	2	0	4
68	26	18	14
69	112	75	120
70	268	137	277
71	345	197	380
72	435	244	401
73	408	222	416
74	431	252	364
75	420	233	424
76	410	219	419
77	381	228	417
78	395	242	399
79	412	227	434
80	397	245	405
81	361	214	396
82	373	239	420
83	392	234	401
84	389	208	406
85	380	227	374
86	413	210	413
87	401	225	420
88	395	239	382
89	363	209	414
90	400	221	415
91	406	233	399
92	397	215	400
93	350	188	378
94	373	220	390
95	365	204	392
96	381	210	397
97	389	213	369
98	356	202	344
99	400	224	440
100	430	220	382
101	395	243	405
102	409	203	385
103	363	239	393
104	365	204	384
105	400	221	348
106	368	219	390
107	358	206	382
108	361	181	364
109	370	188	411
110	342	202	367
111	367	225	390
112	382	185	394
113	378	182	353
114	362	155	382
115	395	207	420
116	368	199	365
117	396	191	370
118	388	188	386
119	343	196	351
120	371	209	372
121	381	210	365
122	344	169	379
123	345	185	350
124	349	199	351
125	387	194	386
126	336	186	344
127	356	185	377
128	330	181	363
129	376	185	373
130	323	188	389
131	333	162	357
132	338	159	328
133	372	180	326
134	351	197	356
135	343	202	382
136	373	186	349
137	315	173	384
138	353	184	370
139	367	188	366
140	342	176	368
141	340	172	398
142	339	204	367
143	333	196	401
144	329	169	373
145	338	161	396
146	382	195	363
147	360	180	366
148	346	178	354
149	342	182	362
150	343	186	349
151	346	217	359
152	320	182	388
153	338	174	407
154	339	191	422
155	308	178	388
156	322	190	391
157	355	191	381
158	328	165	390
159	321	177	363
160	353	215	346
161	356	183	372
162	355	195	338
163	347	161	315
164	300	163	345
165	332	151	347
166	318	191	363
167	347	162	330
168	350	164	313
169	342	184	341
170	336	168	365
171	280	177	314
172	352	164	353
173	316	157	344
174	330	150	337
175	341	193	324
176	337	170	339
177	315	160	332
178	299	180	359
179	291	172	359
180	313	153	392
181	319	182	363
182	320	161	409
183	349	156	467
184	312	166	479
185	319	199	457
186	322	180	397
187	352	190	428
188	336	140	359
189	317	161	317
190	321	168	331
191	332	173	320
192	322	158	276
193	321	152	279
194	349	164	314
195	333	171	312
196	322	187	273
197	348	171	294
198	347	164	296
199	313	177	280
200	317	170	302
201	302	183	306
202	350	139	278
203	304	141	283
204	365	171	299
205	326	163	280
206	307	183	300
207	319	158	286
208	297	193	302
209	266	174	333
210	294	168	376
211	288	170	450
212	338	164	512
213	302	167	494
214	323	189	400
215	317	165	330
216	327	149	306
217	304	172	355
218	332	142	328
219	333	139	329
220	303	147	326
221	329	154	297
222	303	188	298
223	316	148	234
224	327	159	264
225	316	147	261
226	332	173	226
227	300	193	257
228	329	154	234
229	309	162	258
230	267	147	274
231	353	183	252
232	335	186	263
