#Kanäle	Cäsium	Cobalt	Europium
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	2	0	1
68	15	11	22
69	86	69	70
70	174	122	126
71	251	180	167
72	243	162	162
73	236	163	186
74	254	163	208
75	290	193	192
76	266	178	200
77	299	175	197
78	243	161	173
79	294	205	229
80	264	191	211
81	312	177	249
82	334	174	205
83	279	190	221
84	323	174	249
85	344	164	255
86	329	156	230
87	344	182	259
88	382	204	280
89	393	173	270
90	410	185	305
91	417	169	317
92	494	190	359
93	506	177	303
94	562	178	402
95	547	180	362
96	593	201	388
97	595	182	356
98	668	214	399
99	693	188	490
100	696	180	436
101	832	206	455
102	821	206	478
103	857	185	523
104	864	203	574
105	965	171	597
106	954	196	654
107	980	179	684
108	1037	194	725
109	1036	164	732
110	1054	200	850
111	1078	183	772
112	1066	189	866
113	997	199	922
114	985	197	942
115	1014	222	1031
116	966	177	1074
117	925	190	1189
118	914	214	1270
119	894	195	1331
120	794	206	1367
121	841	206	1527
122	713	180	1668
123	708	194	1719
124	722	211	1850
125	677	190	1970
126	598	178	2187
127	603	170	2239
128	576	144	2441
129	521	178	2599
130	507	194	2717
131	544	221	2974
132	489	190	3041
133	443	176	3240
134	386	203	3472
135	430	190	3561
136	398	198	3565
137	372	187	3741
138	394	196	3924
139	396	186	4060
140	384	182	4052
141	318	206	4142
142	346	194	4279
143	349	226	4276
144	352	189	4292
145	310	203	4226
146	290	203	4012
147	341	229	4044
148	323	200	3908
149	298	186	3999
150	311	188	3731
151	293	198	3568
152	277	187	3444
153	318	199	3277
154	296	214	3289
155	297	202	3044
156	303	199	2945
157	271	220	2789
158	264	193	2599
159	248	190	2526
160	282	195	2366
161	300	204	2267
162	279	233	2141
163	268	192	1907
164	273	202	1907
165	337	190	1871
166	283	203	1894
167	326	189	1843
168	330	207	1715
169	284	204	1610
170	298	197	1570
171	268	166	1557
172	292	213	1457
173	310	196	1385
174	313	201	1291
175	280	182	1299
176	327	234	1197
177	238	205	1174
178	321	206	1086
179	316	208	1069
180	295	193	997
181	267	205	961
182	321	205	883
183	283	217	803
184	291	210	784
185	312	222	718
186	322	208	686
187	327	212	665
188	310	202	588
189	287	198	582
190	316	215	531
191	270	221	492
192	291	211	448
193	263	224	458
194	293	184	440
195	305	199	381
196	287	209	390
197	314	221	330
198	316	237	328
199	344	203	340
200	305	201	344
201	326	201	329
202	301	205	315
203	320	244	366
204	335	230	317
205	319	224	322
206	302	194	341
207	308	180	270
208	288	170	296
209	320	208	296
210	297	191	287
211	307	207	330
212	326	208	280
213	289	183	333
214	288	216	304
215	308	218	313
216	345	221	292
217	295	202	305
218	322	226	334
219	331	181	329
220	332	200	341
221	346	212	341
222	311	227	349
223	352	233	340
